Irrad,generation
130.217,7
316.833,15.59
363.783,19.55
365.788,25.96
489.283,26.63
527,29.58
571.354,31.35
581,36.19
581.505,41.33
674.515,42.25
852.792,43.65
900.638,44.94
910.167,47.35
953.109,48.18
968.25,49
971.117,49.12
1040.29,50.33
1051.67,53.42
1062.018,55.33
1150.456,55.72
1257.25,56.19
1274.809,63.21
1275.295,65.71
1306.918,70.97
1383.848,71.76
1412.556,74.68
1474.462,77.39
1480.43,77.87
1488.333,78.12
1502.776,79.29
1526.525,82.53
1529.25,83.73
1631.666,83.84
1661.75,84.51
1696.295,87.07
1721.962,88.64
1759.015,91.77
1830.25,93.04
1840.567,93.3
1862.225,93.97
1962.673,98.13
1965.667,103.19
1967.833,104.31
2082.56,104.85
2090.403,104.9
2105.485,106.49
2120.6,106.6
2157.477,109.97
2161.143,110.35
2203.172,110.37
2220.75,111.25
2245.187,113.29
2292.75,113.98
2337.902,114.16
2394.356,116.34
2436.673,120.51
2463,121.16
2531.5,123.65
2595.465,124.36
2604.614,124.43
2678.338,126.89
2690.262,128.09
2793.072,128.76
2806.413,130.51
2807.183,130.63
2819.667,131.02
2844.356,131.12
2866.194,131.43
2890.326,131.84
2985.067,132.76
2990.815,133.43
3009.45,133.82
3071.083,136.04
3076.22,136.1
3100.803,136.47
3115.467,137.06
3143.696,137.43
3205.583,137.87
3219.842,140.67
3264.177,141.31
3288.083,144.01
3294.54,144.07
3297.525,144.57
3393.662,145.04
3450.042,146.79
3467.583,147.43
3480.395,148.9
3503.417,149.96
3516.5,150.3
3544.369,154.77
3577.942,157.39
3653.25,157.94
3656.648,160.22
3661.35,160.73
3699.071,162.54
3716.444,163.87
3722.333,164.58
3723.03,165.06
3766.265,165.13
3791.615,173.08
3794.967,174.46
3801.808,175.11
3858.475,178.37
3882.973,179.17
3888.149,180.33
3929.489,180.57
3932.481,181.96
3932.508,183.17
3940.22,184.88
3941.78,186.96
3965.194,187.67
4010.814,191.19
4024.222,191.91
4026.75,195.32
4036.182,195.51
4048.682,195.65
4054.238,195.77
4056.833,196.92
4077.417,197.07
4096.058,198.22
4116.987,198.4
4169.75,199.86
4172.212,200.6
4185.667,201.72
4194.774,203.75
4223.45,204.24
4235.417,204.78
4281.862,205.75
4290.277,206.11
4302.785,208.6
4307.689,210.6
4311.172,210.88
4316.379,211.55
4341.806,213.82
4342.267,214.07
4356.205,214.14
4369.595,215.96
4370.7,216.69
4375.85,217.72
4385.754,217.75
4395.894,219.59
4397.083,219.98
4406.25,220.23
4451.917,220.43
4460.955,220.45
4523.511,220.69
4561.326,220.85
4562.968,222
4565.78,222.5
4589.924,223.72
4591.508,224.12
4599.167,224.74
4600.833,224.94
4624.711,225.73
4624.75,226.11
4640.167,226.26
4663.368,227.43
4677.417,228.22
4699.417,229.51
4705.386,232.77
4714.848,233.42
4717.176,233.64
4724.545,233.93
4728.07,234.81
4773.808,235
4777.28,238.49
4845.288,239.68
4908.53,240.36
4970.97,241.9
4980.641,242.4
4986.85,242.51
5016.667,242.7
5025.507,243.03
5045.867,243.12
5120.204,243.74
5159.691,244.61
5161.483,244.99
5166.083,245.38
5192.389,246.09
5225.819,246.54
5271.341,247.72
5282.417,254.06
5289.712,257.71
5342.542,257.88
5348.814,258.86
5404.167,259.28
5446.633,259.88
5484,260.81
5509.964,261.05
5546.77,262.13
5576,262.65
5596.75,262.96
5642.205,265.24
5652.083,266.58
5700.433,267.4
5705.617,268.11
5745.758,268.86
5745.924,269.49
5754.591,272.54
5758.623,272.56
5771.432,272.76
5813.4,273.03
5903.909,274.49
5929.439,275.46
5930.047,276.16
5960.617,278.5
5970.917,279.04
6073.886,283.65
6135.629,283.81
6156.62,290.13
6182.05,292.28
6189.909,292.68
6213.217,297.35
6300.311,298.44
6316.841,301.78
6457.358,312.08